product,country,correction_bnusd_per_mt_feed
meat-cattle,BRB,-0.3150499761104584
meat-cattle,BRN,-0.20815133303403854
meat-cattle,BTN,-0.23357410728931427
meat-cattle,BWA,-0.22958535701036453
meat-cattle,CAF,-0.12711069360375404
meat-cattle,CAN,-0.21340350806713104
meat-cattle,CHE,-0.23716220259666443
meat-cattle,CHL,-0.12298346310853958
meat-cattle,CHN,-0.20762990415096283
meat-cattle,CIV,-0.18865954875946045
meat-cattle,CMR,-0.20329243689775467
meat-cattle,COD,-0.1988503634929657
meat-cattle,COG,-0.20126578211784363
meat-cattle,COL,-0.1558123677968979
meat-cattle,COM,-0.1335797868669033
meat-cattle,CPV,-0.04527704045176506
meat-cattle,CRI,-0.2169800028204918
meat-cattle,CUB,-0.1887185052037239
meat-cattle,CYP,-0.24092312157154083
meat-cattle,CZE,-0.22235268354415894
meat-cattle,DEU,-0.22259757667779922
meat-cattle,DJI,-0.045843642204999924
meat-cattle,DNK,-0.22987830638885498
meat-cattle,DOM,-0.05137598514556885
meat-cattle,DZA,-0.15427890419960022
meat-cattle,ECU,-0.18084221333265305
meat-cattle,EGY,-0.20462629944086075
meat-cattle,ERI,-0.13474339991807938
meat-cattle,ESP,-0.20348277688026428
meat-cattle,EST,-0.22778335958719254
meat-cattle,ETH,-0.16609212011098862
meat-cattle,FIN,-0.22701864689588547
meat-cattle,FJI,-0.19422317296266556
meat-cattle,FRA,-0.1999017521739006
meat-cattle,GAB,-0.13546889647841454
meat-cattle,GBR,-0.23148392140865326
meat-cattle,GEO,-0.21692434698343277
meat-cattle,GHA,-0.10824411734938622
meat-cattle,GIN,-0.1848330944776535
meat-cattle,GMB,-0.19087152183055878
meat-cattle,GNB,-0.19647368788719177
meat-cattle,GNQ,-0.14891157299280167
meat-cattle,GRC,-0.21249916404485703
meat-cattle,GRD,-0.20362530648708344
meat-cattle,GTM,-0.1561030149459839
meat-cattle,GUF,-0.0
meat-cattle,GUY,-0.1305103413760662
meat-cattle,HND,-0.1705453246831894
meat-cattle,HRV,-0.21460864692926407
meat-cattle,HTI,-0.032094646245241165
meat-cattle,HUN,-0.22010035812854767
meat-cattle,IDN,-0.19734271615743637
meat-cattle,IND,-0.17902958393096924
meat-cattle,IRL,-0.20051782578229904
meat-cattle,IRN,-0.15218746662139893
meat-cattle,IRQ,-0.19664864987134933
meat-cattle,ISL,-0.23919767141342163
meat-cattle,ISR,-0.3415342718362808
meat-cattle,ITA,-0.22114136815071106
meat-cattle,JAM,-0.07293976098299026
meat-cattle,JOR,-0.23921098560094833
meat-cattle,JPN,-0.25746435672044754
meat-cattle,KAZ,-0.21313319355249405
meat-cattle,KEN,-0.1739787831902504
meat-cattle,KGZ,-0.14954634383320808
meat-cattle,KHM,-0.12261944636702538
meat-cattle,KOR,-0.21866601705551147
meat-cattle,LAO,-0.15752385556697845
meat-cattle,LBN,-0.23875240981578827
meat-cattle,LBR,-0.11706911399960518
meat-cattle,LBY,-0.14651603996753693
meat-cattle,LKA,-0.201143778860569
meat-cattle,LSO,-0.1325395666062832
meat-cattle,LTU,-0.23005419224500656
meat-cattle,LUX,-0.19977731257677078
meat-cattle,LVA,-0.22700468450784683
meat-cattle,MAR,-0.1987001821398735
meat-cattle,MDA,-0.20534613728523254
meat-cattle,MDG,-0.21516118943691254
meat-cattle,MEX,-0.1480197086930275
meat-cattle,MKD,-0.2158382311463356
meat-cattle,MLI,-0.09869772754609585
meat-cattle,MLT,-0.4697454124689102
meat-cattle,MMR,-0.20349501818418503
meat-cattle,MNE,-0.27358514070510864
meat-cattle,MNG,-0.17577364295721054
meat-cattle,MOZ,-0.12495945766568184
meat-cattle,MRT,-0.1333964578807354
meat-cattle,MUS,-0.13929808512330055
meat-cattle,MWI,-0.1398640312254429
meat-cattle,MYS,-0.14421948790550232
meat-cattle,NAM,-0.17733212560415268
meat-cattle,NER,-0.19332079589366913
meat-cattle,NGA,-0.1435365006327629
meat-cattle,NIC,-0.20781763643026352
meat-cattle,NLD,-0.2573833763599396
meat-cattle,NOR,-0.2340901866555214
meat-cattle,NPL,-0.21524663269519806
meat-cattle,NZL,-0.20059212297201157
meat-cattle,OMN,-0.23585885018110275
meat-cattle,PAK,-0.23245230317115784
meat-cattle,PAN,-0.20804321765899658
meat-cattle,PER,-0.18228868395090103
meat-cattle,PHL,-0.16974478960037231
meat-cattle,PNG,-0.21152283251285553
meat-cattle,POL,-0.19620812684297562
meat-cattle,PRI,-0.1367424838244915
meat-cattle,PRT,-0.2004474252462387
meat-cattle,PRY,-0.11181943491101265
meat-cattle,PSE,-0.2285025268793106
meat-cattle,ROU,-0.22195379436016083
meat-cattle,RUS,-0.22273961454629898
meat-cattle,RWA,-0.13159121200442314
meat-cattle,SAU,-0.25078844279050827
meat-cattle,SDN,-0.15456683188676834
meat-cattle,SEN,-0.19292167574167252
meat-cattle,SLB,-0.15079984813928604
meat-cattle,SLE,-0.2014911100268364
meat-cattle,SLV,-0.20273517072200775
meat-cattle,SOM,-0.14548829942941666
meat-cattle,SRB,-0.21109041571617126
meat-cattle,SSD,-0.14308902248740196
meat-cattle,STP,-0.13287029042840004
meat-cattle,SUR,-0.1208672858774662
meat-cattle,SVK,-0.2176978662610054
meat-cattle,SVN,-0.22916150093078613
meat-cattle,SWE,-0.2235124632716179
meat-cattle,SWZ,-0.21432790160179138
meat-cattle,SYR,-0.22119534015655518
meat-cattle,TCD,-0.14099571481347084
meat-cattle,TGO,-0.16742848604917526
meat-cattle,THA,-0.13436272740364075
meat-cattle,TJK,-0.15168804675340652
meat-cattle,TKM,-0.15535146743059158
meat-cattle,TLS,-0.11349644139409065
meat-cattle,TTO,-0.14871518313884735
meat-cattle,TUN,-0.21512678265571594
meat-cattle,TUR,-0.21773958206176758
meat-cattle,TWN,-0.20644744485616684
meat-cattle,TZA,-0.131754282861948
meat-cattle,UGA,-0.1948401927947998
meat-cattle,UKR,-0.22627686709165573
meat-cattle,URY,-0.13077731058001518
meat-cattle,USA,-0.1738472580909729
meat-cattle,UZB,-0.1572372131049633
meat-cattle,VEN,-0.13064192980527878
meat-cattle,VNM,-0.1984318271279335
meat-cattle,VUT,-0.2120482251048088
meat-cattle,YEM,-0.1799706593155861
meat-cattle,ZAF,-0.22745662182569504
meat-cattle,ZMB,-0.12495031580328941
meat-cattle,ZWE,-0.47216251492500305
meat-chicken,AFG,-0.19531138241291046
meat-chicken,AGO,-0.20134325325489044
meat-chicken,ALB,-0.23381702601909637
meat-chicken,ARE,-0.23109397292137146
meat-chicken,ARG,-0.20896893739700317
meat-chicken,ARM,-0.24578332901000977
meat-chicken,ASM,-0.0
meat-chicken,ATG,-0.22999320924282074
meat-chicken,AUS,-0.21388351917266846
meat-chicken,AUT,-0.23212948441505432
meat-chicken,AZE,-0.22479262948036194
meat-chicken,BDI,-0.1748548448085785
meat-chicken,BEL,-0.25430887937545776
meat-chicken,BEN,-0.15770046412944794
meat-chicken,BFA,-0.16659028828144073
meat-chicken,BGD,-0.2003655880689621
meat-chicken,BGR,-0.21636077761650085
meat-chicken,BHS,-0.22337132692337036
meat-chicken,BIH,-0.2248661369085312
meat-chicken,BLR,-0.24261368811130524
meat-chicken,BLZ,-0.23844827711582184
meat-chicken,BOL,-0.22077065706253052
meat-chicken,BRA,-0.21379198133945465
meat-chicken,BRB,-0.23712937533855438
meat-chicken,BRN,-0.21383079886436462
meat-chicken,BTN,-0.1870623081922531
meat-chicken,BWA,-0.2034643143415451
meat-chicken,CAF,-0.18725964426994324
meat-chicken,CAN,-0.21548126637935638
meat-chicken,CHE,-0.24570386111736298
meat-chicken,CHL,-0.23521004617214203
meat-chicken,CHN,-0.21033088862895966
meat-chicken,CIV,-0.197810560464859
meat-chicken,CMR,-0.20298554003238678
meat-chicken,COD,-0.1817665547132492
meat-chicken,COG,-0.19865302741527557
meat-chicken,COL,-0.23927567899227142
meat-chicken,COM,-0.17257794737815857
meat-chicken,CPV,-0.20085184276103973
meat-chicken,CRI,-0.23894178867340088
meat-chicken,CUB,-0.22584375739097595
meat-chicken,CYP,-0.2391117960214615
meat-chicken,CZE,-0.22682492434978485
