crop,country,correction_bnusd_per_mha
banana,VNM,-2.7612003087997437
banana,VUT,-7.5
banana,YEM,-4.662902355194092
banana,ZAF,-7.5
banana,ZMB,-1.7863628268241882
banana,ZWE,-7.5
barley,AFG,-0.41959236562252045
barley,AGO,-0.0
barley,ALB,-0.6194858253002167
barley,ARE,0.16586314141750336
barley,ARG,-0.26975107192993164
barley,ARM,-0.19652586430311203
barley,AUS,0.06156805530190468
barley,AUT,-0.3216422125697136
barley,AZE,-0.16202817112207413
barley,BDI,-0.0
barley,BEL,-0.15987039357423782
barley,BGD,7.5
barley,BGR,-0.1019512414932251
barley,BIH,-0.15315334498882294
barley,BLR,-0.10108572244644165
barley,BOL,-0.07505296915769577
barley,BRA,-0.167629174888134
barley,BTN,0.32470881938934326
barley,BWA,7.5
barley,CAN,-0.3737087845802307
barley,CHE,-0.8348332941532135
barley,CHL,-0.6242446899414062
barley,CHN,-0.20704488456249237
barley,COD,-0.5248754024505615
barley,COL,-0.37067264318466187
barley,CYP,0.13477128837257624
barley,CZE,-0.27545487880706787
barley,DEU,-0.19169215857982635
barley,DNK,-0.4238782674074173
barley,DZA,-0.13082298636436462
barley,ECU,-0.307857945561409
barley,EGY,-0.8228963613510132
barley,ERI,-0.47092974185943604
barley,ESP,-0.12157878279685974
barley,EST,-0.11731341108679771
barley,ETH,-0.3023264706134796
barley,FIN,3.671917147934437
barley,FRA,-0.3832091689109802
barley,GBR,-0.42843036353588104
barley,GEO,-0.1442762315273285
barley,GRC,0.04619132727384567
barley,GTM,-0.0
barley,HRV,3.675178423523903
barley,HUN,0.15401752293109894
barley,IND,-0.2647530138492584
barley,IRL,-0.3774337135255337
barley,IRN,-0.36960548162460327
barley,IRQ,-0.3980998992919922
barley,ISR,0.5810776054859161
barley,ITA,-0.15009290724992752
barley,JOR,-0.28233079612255096
barley,JPN,0.9167921245098114
barley,KAZ,-0.14883917570114136
barley,KEN,-0.6532042324542999
barley,KGZ,-0.22024758160114288
barley,KOR,-0.039941151393577456
barley,LAO,-0.2857010215520859
barley,LBN,-0.23430651426315308
barley,LBY,-0.8072165250778198
barley,LSO,-0.4884572774171829
barley,LTU,-0.17189627140760422
barley,LUX,-0.08811324089765549
barley,LVA,-0.12503747828304768
barley,MAR,-0.4951678663492203
barley,MDA,0.05096981208771467
barley,MEX,-0.45742176473140717
barley,MKD,-0.022567016072571278
barley,MLT,-3.000856786966324
barley,MMR,-0.2836342751979828
barley,MNE,-0.14365680888295174
barley,MNG,-0.12501293793320656
barley,MOZ,7.5
barley,MRT,-0.10990392416715622
barley,MWI,-0.0
barley,NAM,-0.0
barley,NLD,-1.032972827553749
barley,NOR,-0.8311562240123749
barley,NPL,0.0503186471760273
barley,NZL,-0.7264086902141571
barley,OMN,-1.078265741467476
barley,PAK,-0.4920949339866638
barley,PER,-0.09790685772895813
barley,POL,-0.18059804290533066
barley,PRT,-0.20676638185977936
barley,PRY,7.5
barley,PSE,-0.38083264231681824
barley,ROU,-0.3660845160484314
barley,RUS,-0.13826175034046173
barley,RWA,-0.0
barley,SAU,-0.08376134186983109
barley,SDN,-0.5223727822303772
barley,SRB,-0.050802385434508324
barley,SVK,-0.21639108657836914
barley,SVN,-0.04914016183465719
barley,SWE,-0.5117272138595581
barley,SWZ,7.5
barley,SYR,-0.41896459460258484
barley,THA,-0.32359540462493896
barley,TJK,-0.19537191092967987
barley,TKM,-0.3795866072177887
barley,TUN,-0.10689574480056763
barley,TUR,-0.1015368215739727
barley,TZA,-0.44477027654647827
barley,UGA,-0.0
barley,UKR,-0.2424733266234398
barley,URY,-0.0016808249056339264
barley,USA,-0.48655685782432556
barley,UZB,-0.14707766473293304
barley,VEN,-0.0
barley,VNM,-0.21840191632509232
barley,YEM,-0.24063170701265335
barley,ZAF,-0.31449398398399353
barley,ZMB,7.5
barley,ZWE,1.8266477584838867
biomass-sorghum,AFG,-0.0
biomass-sorghum,AGO,-0.0
biomass-sorghum,ALB,-0.0
biomass-sorghum,ARE,-0.0
biomass-sorghum,ARG,-0.0
biomass-sorghum,ARM,-0.0
biomass-sorghum,AUS,-0.0
biomass-sorghum,AUT,-0.0
biomass-sorghum,AZE,-0.0
biomass-sorghum,BDI,-0.0
biomass-sorghum,BEL,-0.0
biomass-sorghum,BEN,-0.0
biomass-sorghum,BFA,-0.0
biomass-sorghum,BGD,-0.0
biomass-sorghum,BGR,-0.0
biomass-sorghum,BIH,-0.0
biomass-sorghum,BLR,-0.0
biomass-sorghum,BLZ,-0.0
biomass-sorghum,BOL,-0.0
biomass-sorghum,BRA,-0.0
biomass-sorghum,BTN,-0.0
biomass-sorghum,BWA,-0.0
biomass-sorghum,CAF,-0.0
biomass-sorghum,CAN,-0.0
biomass-sorghum,CHE,-0.0
biomass-sorghum,CHN,-0.0
biomass-sorghum,CIV,-0.0
biomass-sorghum,CMR,-0.0
biomass-sorghum,COD,-0.0
biomass-sorghum,COG,-0.0
biomass-sorghum,COL,-0.0
biomass-sorghum,CRI,-0.0
biomass-sorghum,CUB,-0.0
biomass-sorghum,CZE,-0.0
biomass-sorghum,DEU,-0.0
biomass-sorghum,DOM,-0.0
biomass-sorghum,DZA,-0.0
biomass-sorghum,ECU,-0.0
biomass-sorghum,EGY,-0.0
biomass-sorghum,ERI,-0.0
biomass-sorghum,ESP,-0.0
biomass-sorghum,EST,-0.0
biomass-sorghum,ETH,-0.0
biomass-sorghum,FJI,-0.0
biomass-sorghum,FRA,-0.0
biomass-sorghum,GAB,-0.0
biomass-sorghum,GEO,-0.0
biomass-sorghum,GHA,-0.0
biomass-sorghum,GIN,-0.0
biomass-sorghum,GMB,-0.0
biomass-sorghum,GNB,-0.0
biomass-sorghum,GRC,-0.0
biomass-sorghum,GTM,-0.0
biomass-sorghum,GUY,-0.0
biomass-sorghum,HND,-0.0
biomass-sorghum,HRV,-0.0
biomass-sorghum,HTI,-0.0
biomass-sorghum,HUN,-0.0
biomass-sorghum,IDN,-0.0
biomass-sorghum,IND,-0.0
biomass-sorghum,IRN,-0.0
biomass-sorghum,IRQ,-0.0
biomass-sorghum,ISR,-0.0
biomass-sorghum,ITA,-0.0
biomass-sorghum,JOR,-0.0
biomass-sorghum,KAZ,-0.0
biomass-sorghum,KEN,-0.0
biomass-sorghum,KGZ,-0.0
biomass-sorghum,KHM,-0.0
biomass-sorghum,KOR,-0.0
biomass-sorghum,LAO,-0.0
biomass-sorghum,LBN,-0.0
biomass-sorghum,LBR,-0.0
biomass-sorghum,LSO,-0.0
biomass-sorghum,LTU,-0.0
biomass-sorghum,LUX,-0.0
biomass-sorghum,LVA,-0.0
biomass-sorghum,MAR,-0.0
biomass-sorghum,MDA,-0.0
biomass-sorghum,MDG,-0.0
biomass-sorghum,MEX,-0.0
biomass-sorghum,MKD,-0.0
biomass-sorghum,MLI,-0.0
biomass-sorghum,MMR,-0.0
biomass-sorghum,MNE,-0.0
biomass-sorghum,MNG,-0.0
biomass-sorghum,MOZ,-0.0
biomass-sorghum,MRT,-0.0
biomass-sorghum,MWI,-0.0
biomass-sorghum,MYS,-0.0
biomass-sorghum,NAM,-0.0
biomass-sorghum,NER,-0.0
biomass-sorghum,NGA,-0.0
biomass-sorghum,NIC,-0.0
biomass-sorghum,NPL,-0.0
biomass-sorghum,OMN,-0.0
biomass-sorghum,PAK,-0.0
biomass-sorghum,PAN,-0.0
biomass-sorghum,PER,-0.0
biomass-sorghum,PNG,-0.0
biomass-sorghum,POL,-0.0
biomass-sorghum,PRT,-0.0
biomass-sorghum,PRY,-0.0
biomass-sorghum,PSE,-0.0
biomass-sorghum,ROU,-0.0
biomass-sorghum,RUS,-0.0
biomass-sorghum,RWA,-0.0
biomass-sorghum,SAU,-0.0
biomass-sorghum,SDN,-0.0
biomass-sorghum,SEN,-0.0
biomass-sorghum,SLE,-0.0
biomass-sorghum,SLV,-0.0
biomass-sorghum,SOM,-0.0
biomass-sorghum,SRB,-0.0
biomass-sorghum,SSD,-0.0
biomass-sorghum,SUR,-0.0
biomass-sorghum,SVK,-0.0
biomass-sorghum,SVN,-0.0
biomass-sorghum,SWZ,-0.0
biomass-sorghum,SYR,-0.0
biomass-sorghum,TCD,-0.0
biomass-sorghum,TGO,-0.0
biomass-sorghum,THA,-0.0
biomass-sorghum,TJK,-0.0
biomass-sorghum,TKM,-0.0
biomass-sorghum,TUN,-0.0
biomass-sorghum,TUR,-0.0
biomass-sorghum,TWN,-0.0
biomass-sorghum,TZA,-0.0
biomass-sorghum,UGA,-0.0
biomass-sorghum,UKR,-0.0
biomass-sorghum,URY,-0.0
biomass-sorghum,USA,-0.0
biomass-sorghum,UZB,-0.0
biomass-sorghum,VEN,-0.0
biomass-sorghum,VNM,-0.0
biomass-sorghum,YEM,-0.0
biomass-sorghum,ZAF,-0.0
biomass-sorghum,ZMB,-0.0
biomass-sorghum,ZWE,-0.0
buckwheat,AFG,-0.0
buckwheat,AGO,-0.0
buckwheat,ALB,-0.38254767656326294
buckwheat,ARE,-0.0
buckwheat,ARG,-0.2314000129699707
buckwheat,ARM,-0.23352748900651932
buckwheat,AUS,-0.11988036334514618
buckwheat,AUT,0.1574430949985981
buckwheat,AZE,-0.21285554021596909
buckwheat,BDI,-0.3779137283563614
buckwheat,BEL,3.9783946126699448
buckwheat,BEN,-7.5
buckwheat,BFA,-0.38349905610084534
buckwheat,BGD,-0.0
buckwheat,BGR,3.726119939237833
buckwheat,BIH,-0.3827541470527649
buckwheat,BLR,-2.1842053616419435
buckwheat,BLZ,-0.0
buckwheat,BOL,-0.3916471600532532
buckwheat,BRA,-0.18322668969631195
buckwheat,BTN,-0.7908152639865875
buckwheat,BWA,-7.5
buckwheat,CAF,0.0
buckwheat,CAN,7.5
buckwheat,CHE,0.3125973790884018
buckwheat,CHL,0.1514700949192047
buckwheat,CHN,-0.3022744953632355
buckwheat,CIV,-0.31135834753513336
buckwheat,CMR,-7.5
buckwheat,COD,7.5
buckwheat,COG,-7.5
buckwheat,COL,-7.5
buckwheat,CYP,7.5
buckwheat,CZE,0.29962265491485596
buckwheat,DEU,0.38816171884536743
buckwheat,DNK,0.13811582699418068
buckwheat,DZA,-0.12445281445980072
buckwheat,ECU,-3.9178504645824432
buckwheat,EGY,-0.27724024653434753
buckwheat,ERI,-0.4163960665464401
buckwheat,ESP,-0.21653486788272858
buckwheat,EST,-0.0031212158501148224
buckwheat,ETH,-0.3091856837272644
buckwheat,FIN,-0.11374542489647865
buckwheat,FRA,0.22871758788824081
buckwheat,GAB,-0.0
buckwheat,GBR,0.1129593588411808
buckwheat,GEO,-0.8614510297775269
buckwheat,GHA,0.0
buckwheat,GIN,-0.40555496513843536
buckwheat,GMB,-7.5
buckwheat,GNB,-7.5
buckwheat,GRC,-0.34655387699604034
buckwheat,GTM,-0.0
buckwheat,GUF,-0.0
buckwheat,GUY,-0.0
buckwheat,HRV,3.794165287166834
buckwheat,HUN,0.21438255906105042
buckwheat,IND,7.5
buckwheat,IRL,0.6557331681251526
buckwheat,IRN,-0.11578173190355301
buckwheat,IRQ,7.5
buckwheat,ISR,3.5748737901449203
buckwheat,ITA,-0.1083628460764885
buckwheat,JOR,-0.0
buckwheat,JPN,-0.5150808990001678
buckwheat,KAZ,-0.09668327867984772
buckwheat,KEN,-7.5
buckwheat,KGZ,3.5507445484399796
buckwheat,KHM,0.0
buckwheat,KOR,-0.11057044938206673
buckwheat,LAO,7.5
buckwheat,LBN,7.5
buckwheat,LBR,-0.0
buckwheat,LBY,-0.0
buckwheat,LSO,3.636833183467388
buckwheat,LTU,3.7551830713637173
buckwheat,LUX,0.11174923181533813
buckwheat,LVA,3.841484025120735
buckwheat,MAR,-0.36158542335033417
buckwheat,MDA,7.5
buckwheat,MEX,-7.5
buckwheat,MKD,-0.19999630749225616
buckwheat,MLI,-0.38659048080444336
buckwheat,MMR,-0.4248516410589218
buckwheat,MNE,-0.06454315967857838
buckwheat,MNG,-0.23920109868049622
buckwheat,MOZ,7.5
buckwheat,MRT,7.5
buckwheat,MWI,-0.0
buckwheat,MYS,-0.0
buckwheat,NAM,-0.0
buckwheat,NER,-7.5
buckwheat,NGA,-0.40569283068180084
buckwheat,NLD,-0.9102169945836067
buckwheat,NOR,-0.07640620885649696
buckwheat,NPL,-0.30494460463523865
buckwheat,NZL,0.23337925225496292
buckwheat,OMN,-7.5
